id,category,shape,shape_type,triples,lexicalization,prefix
9492,City,(X (X (X)) (X (X))),mixed,"[<S> Atlantic City, New Jersey <P> country <O> United States, <S> New Jersey <P> capital <O> Trenton, New Jersey, <S> United States <P> largestCity <O> New York City, <S> Atlantic City, New Jersey <P> isPartOf <O> New Jersey]","""Mae Atlantic City, New York City, Trenton, New Jersey yn cael eu cael yn yr Unol Daleithiau. "" ""Mae Atlantic City yn New Jersey, a'i brifddinas yw Trenton. Mae'r wladwriaeth yn rhan o'r Unol Daleithiau lle mae New York City yn y ddinas fwyaf. "" ""Mae Atlantic City yn New Jersey, yr Unol Daleithiau. Mae prifddinas New Jersey yn Trenton. Mae'r ddinas fwyaf yn yr Unol Daleithiau yn New York City"".",Welsh
1525,City,(X (X)),,"[<S> King County, Washington <P> largestCity <O> Seattle]","""Mae Seattle yn ddinas fwyaf yn Sir King, yn Washington. "" ""Mae Seattle yn ddinas fwyaf yn Sir King, Washington. "" ""Mae Seattle yn ddinas fwyaf yn Sir King, Washington"".",Welsh
6368,Athlete,(X (X) (X (X))),mixed,"[<S> Orange County Blues FC <P> manager <O> Oliver Wyss, <S> Akeem Priestley <P> club <O> Orange County Blues FC, <S> Akeem Priestley <P> club <O> Jacksonville Dolphins]","""Mae Akeem Priestley yn y clwb Jacksonville Dolphins ac yn chwarae ar gyfer Orange County Blues FC sy'n cael ei reoli gan Oliver Wyss. """,Welsh
3122,WrittenWork,(X (X)),,"[<S> Aenir <P> numberOfPages <O> ""233""]","""Mae Aenir yn llyfr sydd â 233 dudalen. "" ""Mae Aenir yn 233 dudalen. "" ""Mae Aenir yn 233 dudalen yn gyfanswm. """,Welsh
5808,Airport,(X (X (X) (X))),mixed,"[<S> Ardmore Airport (New Zealand) <P> 3rdRunwaySurfaceType <O> Poaceae, <S> Poaceae <P> division <O> Flowering plant, <S> Poaceae <P> order <O> Commelinids]","""Yn Seland Newydd, mae'r 3ain llwybr droiant ar Arddmore Aeroport wedi'i wneud o Poaceae, planhigyn sy'n perthyn i'r adran planhigion ffloedd ac yn rhan o'r gorchymyn Commelinids. """", ""Mae'r 3ain tip wyneb llwybr droiant Ardmore Aeroport (New Zealand) yn Poaceae sy'n perthyn i'r gorchymyn Commelinids ac yn perthyn i'r adran planhigion ffloedd. """", ""Mae'r 3",Welsh
9496,City,(X (X) (X (X) (X))),mixed,"[<S> Atlantic City, New Jersey <P> country <O> United States, <S> United States <P> capital <O> Washington, D.C., <S> United States <P> largestCity <O> New York City, <S> Atlantic City, New Jersey <P> isPartOf <O> New Jersey]","""Mae Atlantic City yn rhan o New Jersey, Unol Daleithiau. Mae prifddinas yr Unol Daleithiau yn Washington DC ac mae ddinas fwyaf yn y wlad yn New York City. """"Er bod y ddinas fwyaf yn yr Unol Daleithiau yn New York City, mae'r prifddinas yn Washington DC. Mae'r wlad hefyd yn lleoliad Atlantic City sy'n rhan o New Jersey. """", Atlantic City, New Jersey, sydd yn y Unol Daleithiau, a'i brifddinas yw Washington DC. Mae'r ddinas fwyaf yn yr Unol Daleithiau yn New York City. """,Welsh
8749,Artist,(X (X) (X) (X (X))),mixed,"[<S> Alison O'Donnell <P> genre <O> Psychedelic folk, <S> Alison O'Donnell <P> recordLabel <O> Deram Records, <S> Deram Records <P> location <O> London, <S> Alison O'Donnell <P> recordLabel <O> Stanyan Records]","""Cynnywyd cantwr folklor Psychedelic Alison O'Donnell gyda Stanyan Records a Deram Records yn Llundain. """",Cynnywyd cerddor folc Psychedelic Alison O'Donnell gyda Deram Records yn Llundain.",Welsh
1987,Food,(X (X)),,[<S> New York <P> language <O> French language],"""Mae'r iaith Ffrainc yn cael ei glywed yn Efrog Newydd. "" ""Mae'r Ffrainc yn iaith yn Efrog Newydd"".",Welsh
3630,Astronaut,(X (X) (X) (X) (X)),sibling,"[<S> William Anders <P> dateOfRetirement <O> ""1969-09-01"", <S> William Anders <P> occupation <O> Fighter pilot, <S> William Anders <P> birthPlace <O> British Hong Kong, <S> William Anders <P> almaMater <O> ""AFIT, M.S. 1962""]","""Bornwyd William Anders yn British Hong Kong a gwasanaethu fel peilot i'r gwrthryfel ar ôl cwblhau AFIT gyda gradd magister gwyddonydd natur yn 1962.",Welsh
13167,University,(X (X) (X) (X) (X) (X (X) (X))),mixed,"[<S> Accademia di Architettura di Mendrisio <P> country <O> Switzerland, <S> Accademia di Architettura di Mendrisio <P> numberOfStudents <O> 600, <S> Accademia di Architettura di Mendrisio <P> established <O> 1996, <S> Accademia di Architettura di Mendrisio <P> academicStaffSize <O> 100, <S> Switzerland <P> leader <O> Johann Schneider-Ammann, <S> Accademia di Architettura di Mendrisio <P> location <O> Ticino, <S> Switzerland <P> leaderTitle <O> Federal Chancellor of Switzerland]","""Gwarchwyd Academia di Architettura di Mendrisio yn Ticino, yr Alban, yn 1996, a sefydlwyd yn 1996, mae gan 600 o fyfyrwyr a 100 o weithwyr. Mae ei arweinydd yn y Canolfan Architeddiaeth Fedredol Johann Schneider-Ammann. ""Gwarchwyd yn 1996, mae gan Academia di Architettura di Mendrisio yn Ticino, yr Alban, staff o 100 a 600 o fyfyrwyr. Mae arweinydd y wlad yn Canolfan Architeddiaeth Fedredol yr Alban Johann Schneider-Ammann. """,Welsh
3433,Artist,(X (X (X))),chain,"[<S> Abradab <P> birthPlace <O> Poland, <S> Poland <P> ethnicGroup <O> Kashubians]","""Roedd Abramadab yn cael ei eni yn Pwyl ac un o grwpiau ethnig y wlad yw Kashubians. """", Mae lle geni Abradab yn Pwyl lle mae Kashubians yn grŵp ethnig. """",Roedd Abramadab yn cael ei eni yn Pwyl lle mae Kashubians yn grŵp ethnig. """,Welsh
7578,MeanOfTransportation,(X (X) (X) (X)),sibling,"[<S> Atlas II <P> countryOrigin <O> United States, <S> Atlas II <P> manufacturer <O> Lockheed Martin, <S> Atlas II <P> launchSite <O> Spaceport Florida Launch Complex 36]","""Roedd y Atlas II, o'r Unol Daleithiau, wedi'i wneud gan Lockheed Martin a'i lansio o'r Spaceport Florida Launch Complex 36. """,Welsh
1627,ComicsCharacter,(X (X)),,[<S> Big Hero 6 (film) <P> starring <O> Jamie Chung],"""Mae'r ffilm Big Hero 6 yn chwarae Jamie Chung"", ""Mae'r ffilm Big Hero 6, yn chwarae Jamie Chung"", ""Mae Jamie Chung yn chwarae yn y ffilm Big Hero 6.""",Welsh
4590,Airport,(X (X (X)) (X (X) (X))),mixed,"[<S> Appleton International Airport <P> location <O> Greenville, Wisconsin, <S> Greenville, Wisconsin <P> isPartOf <O> Ellington, Wisconsin, <S> Greenville, Wisconsin <P> country <O> United States, <S> Appleton International Airport <P> cityServed <O> Appleton, Wisconsin, <S> Appleton, Wisconsin <P> isPartOf <O> Grand Chute, Wisconsin]","""Mae Aeroport Adnabyddus Epleton, sy'n gwasanaethu ddinas Appleton, yn lleoli yn Greenville, stat Wisconsin yn yr Unol Daleithiau. Mae Greenville - rhan o Ellington a Epleton - rhan o'r Grand Shut. """,Welsh
