id,category,shape,shape_type,triples,lexicalization,prefix
11374,Artist,(X (X) (X) (X (X (X)))),mixed,"[<S> Twilight (band) <P> genre <O> Black metal, <S> Aaron Turner <P> associatedBand/associatedMusicalArtist <O> Twilight (band), <S> Aaron Turner <P> associatedBand/associatedMusicalArtist <O> Sumac (band), <S> Aaron Turner <P> instrument <O> Electric guitar, <S> Black metal <P> musicFusionGenre <O> Death metal]","""Mae'r gitarydd electrig, Aaron Turner, wedi perfformio gyda'r band Sumac. Roedd yn chwarae gyda'r band Twilight y genre cerddorol, yw black metal. Death metal yw ffusiown cerddorol o black metal. """,Welsh
5552,WrittenWork,(X (X) (X)),sibling,"[<S> A Loyal Character Dancer <P> author <O> Qiu Xiaolong, <S> A Loyal Character Dancer <P> isbnNumber <O> ""1-56947-301-3""]","""Mae'r llyfr A Loyal Character Dancer wedi'i ysgrifennu gan Qiu Xiaolong ac mae ganddo rhif ISBN o 1-56947-301-3."" ""Mae gan Qiu Xiaolong, mae gan A Loyal Character Dancer, ISBN:1-56947-301-3."" ""Mae Qiu Xiaolong yn awdur A Loyal Character Dancer, gyda rhif ISBN 1-56947-301-3.""",Welsh
3530,Airport,(X (X) (X) (X) (X)),sibling,"[<S> Ashgabat International Airport <P> operatingOrganisation <O> Turkmenistan Airlines, <S> Ashgabat International Airport <P> location <O> Ashgabat, <S> Ashgabat International Airport <P> runwayLength <O> 3800.0, <S> Ashgabat International Airport <P> elevationAboveTheSeaLevelInMetres <O> 211]","""Mae awyrennau Turkmenistan yn sefydliad gweithredwr awyr o'r enw Saparmurat Turkmenbashi, sy'n lleoli yn ddinas Ashхабаd. Mae'n lleoli ar uchafbwynt o 211 metr uwchben lefel y môr ac mae ganddo dyddiad y daith 3800,0."", ""Mae awyrennau ar ôl y enw Saparmurat Turkmenbashi yn cael eu gweithredu gan Turkmenski Airlines. Mae'n lleoli ar uchafbwynt o 211 metr uwchben lefel y môr ac mae ganddo dyddiad y daith"".",Welsh
5659,WrittenWork,(X (X (X))),chain,"[<S> United States <P> leader <O> Barack Obama, <S> A Severed Wasp <P> country <O> United States]","""Mae'r Wisp wedi'i dorri o'r Unol Daleithiau lle mae Barack Obama yn president. "" ""Mae'r Wisp wedi'i dorri o'r Unol Daleithiau lle mae Barack Obama yn Arlywydd. """,Welsh
1349,City,(X (X)),,"[<S> Akron, Ohio <P> areaTotal <O> 161.54 (square kilometres)]","""Mae ardal gyfanswm Akron, Ohio yn 161.54 cylchmetr sgwâr. "" ""Mae ardal gyfanswm Akron Ohio yn 161.54 cylchmetr sgwâr. "" ""Mae ardal gyfanswm Akron, Ohio yn 161.54 cylchmetr sgwâr. """,Welsh
9468,City,(X (X) (X) (X) (X)),sibling,"[<S> Anderson, Indiana <P> populationDensity <O> 523.9 (inhabitants per square kilometre), <S> Anderson, Indiana <P> areaTotal <O> 107.43 (square kilometres), <S> Anderson, Indiana <P> isPartOf <O> Madison County, Indiana, <S> Anderson, Indiana <P> elevationAboveTheSeaLevel <O> 268.0]","""Mae Anderson, sy'n lleoli yn Sir Madison yn Indiana ac 268.0 uwchben lefel y môr, yn cynnwys cythbwysedd poblogaeth o 523.9 (beiniwyr y cwerhyd) a chythbwysedd cyfanswm o 107.43 cwerhyd. """,Welsh
11501,Athlete,(X (X) (X (X)) (X (X))),mixed,"[<S> Alessio Romagnoli <P> club <O> A.C. Milan, <S> A.C. Milan <P> manager <O> Siniša Mihajlović, <S> Alessio Romagnoli <P> position <O> Defender (football), <S> A.S. Roma <P> league <O> Serie A, <S> Alessio Romagnoli <P> club <O> A.S. Roma]","""Mae'r gwarchodwr Alessio Romagnoli wedi chwarae yn Serie A gyda A.S. Roma ac mae hefyd wedi chwarae ar gyfer A.C. Milan, lle roedd y rheolwr yn Siniša Mihajlović. """,Welsh
3489,Airport,(X (X (X) (X) (X))),mixed,"[<S> Andrews County Airport <P> location <O> Texas, <S> Texas <P> language <O> English language, <S> Texas <P> demonym <O> Tejano, <S> Texas <P> country <O> United States]","""Mae Aeroport округа Andrus yn siaradydd Saesneg yn Texas (USA), lle mae enw trigolion Texas yn tehass. """,Welsh
11311,Artist,(X (X) (X) (X) (X) (X)),sibling,"[<S> Andra (singer) <P> genre <O> Pop music, <S> Andra (singer) <P> birthYear <O> 1986, <S> Andra (singer) <P> birthPlace <O> Câmpia Turzii, <S> Andra (singer) <P> background <O> ""solo singer"", <S> Andra (singer) <P> occupation <O> ""singer, Reality television judge""]","""Andra, cantwr solo a pheriadwr teledu realiti, a anwyd yn 1986 yn Campia Turzii. Mae hi'n canu cerddoriaeth pop."", ""Anwyd cantwr cerddoriaeth pop Andra yn Campia Turzii yn 1986.",Welsh
3549,Airport,(X (X (X (X) (X)))),mixed,"[<S> Belgium <P> leader <O> Charles Michel, <S> Belgium <P> leaderName <O> Philippe of Belgium, <S> Antwerp International Airport <P> cityServed <O> Antwerp, <S> Antwerp <P> country <O> Belgium]","""Mae Arfordir Rhyngwladol Antwerpen yn gwasanaethu ddinas Antwerpen yn Belg, lle mae dau arweinydd - Charles Michel a Philippi. "" ""Mae Charles Michel a Philippi yn arwain Belg. Mae ddinas Antwerpen yn gyfarwyddwrwrwrwrwrwrwrwr poblogaidd yn y wlad ac mae'n gwasanaethu gan y maes awyr rhyngwladol Antwerpen. """,Welsh
